d,o,h,l,c,v
2020-05-15 13:30:00,199.98000000,200.46000000,199.28000000,199.64000000,9011.26490000
2020-05-15 14:00:00,199.65000000,200.50000000,199.64000000,200.05000000,13500.52057000
2020-05-15 14:30:00,200.05000000,200.51000000,199.74000000,199.74000000,7638.48916000
2020-05-15 15:00:00,199.78000000,199.78000000,197.74000000,198.86000000,24907.84075000
2020-05-15 15:30:00,198.86000000,199.06000000,196.60000000,197.85000000,32358.54762000
2020-05-15 16:00:00,197.94000000,198.80000000,197.50000000,198.39000000,14641.32728000
2020-05-15 16:30:00,198.37000000,198.41000000,197.43000000,197.48000000,8234.33095000
2020-05-15 17:00:00,197.51000000,199.02000000,197.03000000,198.36000000,15576.08048000
2020-05-15 17:30:00,198.35000000,198.51000000,197.73000000,198.29000000,6783.00811000
2020-05-15 18:00:00,198.24000000,198.97000000,198.08000000,198.14000000,7811.59588000
2020-05-15 18:30:00,198.10000000,198.55000000,198.00000000,198.04000000,5220.44365000
2020-05-15 19:00:00,198.07000000,198.27000000,193.80000000,194.93000000,77915.68282000
2020-05-15 19:30:00,194.96000000,196.62000000,194.44000000,194.76000000,15832.90250000
2020-05-15 20:00:00,194.76000000,195.25000000,194.20000000,194.75000000,13306.84798000
2020-05-15 20:30:00,194.72000000,194.89000000,191.66000000,193.63000000,60520.03778000
2020-05-15 21:00:00,193.63000000,196.01000000,193.02000000,195.29000000,19371.61204000
2020-05-15 21:30:00,195.33000000,196.76000000,194.68000000,196.12000000,11961.30278000
2020-05-15 22:00:00,196.16000000,197.76000000,195.67000000,197.75000000,13167.89382000
2020-05-15 22:30:00,197.75000000,197.94000000,195.77000000,196.17000000,11810.14777000
2020-05-15 23:00:00,196.13000000,196.82000000,195.70000000,195.75000000,5542.32873000
2020-05-15 23:30:00,195.73000000,196.34000000,194.05000000,194.86000000,17020.14940000
2020-05-16 00:00:00,194.87000000,195.16000000,193.21000000,195.16000000,13916.10772000
2020-05-16 00:30:00,195.15000000,197.28000000,194.82000000,196.82000000,17098.84877000
2020-05-16 01:00:00,196.80000000,197.19000000,195.71000000,196.79000000,13256.38811000
2020-05-16 01:30:00,196.78000000,197.89000000,196.43000000,197.17000000,10237.73172000
2020-05-16 02:00:00,197.16000000,198.80000000,197.16000000,198.52000000,18696.81457000
2020-05-16 02:30:00,198.59000000,199.59000000,198.35000000,199.06000000,13027.90330000
2020-05-16 03:00:00,199.06000000,199.78000000,198.25000000,198.70000000,9062.20856000
2020-05-16 03:30:00,198.70000000,199.14000000,198.23000000,198.63000000,5114.35179000
2020-05-16 04:00:00,198.56000000,200.43000000,198.50000000,200.07000000,21539.54061000
2020-05-16 04:30:00,200.07000000,201.65000000,199.53000000,201.58000000,32083.54086000
2020-05-16 05:00:00,201.60000000,202.44000000,201.03000000,201.41000000,29165.15939000
2020-05-16 05:30:00,201.42000000,201.70000000,200.18000000,200.23000000,13300.99796000
2020-05-16 06:00:00,200.21000000,200.96000000,200.00000000,200.61000000,10222.48067000
2020-05-16 06:30:00,200.61000000,201.16000000,200.42000000,200.95000000,10081.67960000
2020-05-16 07:00:00,200.94000000,201.47000000,200.37000000,200.60000000,12385.25559000
2020-05-16 07:30:00,200.58000000,200.64000000,199.36000000,199.50000000,23099.17827000
2020-05-16 08:00:00,199.51000000,200.03000000,198.53000000,199.89000000,33051.12879000
2020-05-16 08:30:00,199.89000000,200.67000000,199.77000000,200.62000000,11770.71857000
2020-05-16 09:00:00,200.56000000,200.81000000,199.63000000,199.63000000,13102.68857000
2020-05-16 09:30:00,199.63000000,200.31000000,199.33000000,200.20000000,10160.74321000
2020-05-16 10:00:00,200.19000000,200.47000000,199.41000000,200.46000000,11952.95385000
2020-05-16 10:30:00,200.45000000,201.24000000,199.99000000,201.04000000,18360.67537000
2020-05-16 11:00:00,201.01000000,201.23000000,200.36000000,200.81000000,12886.50804000
2020-05-16 11:30:00,200.83000000,200.99000000,199.93000000,200.27000000,7054.85202000
2020-05-16 12:00:00,200.29000000,203.50000000,200.28000000,202.80000000,47736.17448000
2020-05-16 12:30:00,202.80000000,202.93000000,201.81000000,202.30000000,14874.09013000
2020-05-16 13:00:00,202.29000000,203.29000000,201.95000000,202.32000000,19375.85426000
2020-05-16 13:30:00,202.35000000,202.49000000,201.50000000,201.99000000,8530.64072000
2020-05-16 14:00:00,202.02000000,202.65000000,201.75000000,201.84000000,9414.38824000
2020-05-16 14:30:00,201.80000000,202.05000000,200.00000000,201.28000000,16778.73992000
