d,o,h,l,c,v
2020-05-16 07:30:00,9457.39000000,9459.70000000,9367.13000000,9390.02000000,1494.05439400
2020-05-16 08:00:00,9390.03000000,9438.73000000,9351.25000000,9409.67000000,1606.21955800
2020-05-16 08:30:00,9409.67000000,9431.03000000,9385.71000000,9423.39000000,1008.31462100
2020-05-16 09:00:00,9423.30000000,9434.94000000,9364.38000000,9366.31000000,943.86543300
2020-05-16 09:30:00,9366.00000000,9424.00000000,9315.00000000,9415.71000000,1283.84547300
2020-05-16 10:00:00,9416.18000000,9424.87000000,9370.00000000,9413.33000000,1086.78565400
2020-05-16 10:30:00,9412.86000000,9458.00000000,9395.25000000,9455.00000000,1064.99930900
2020-05-16 11:00:00,9455.00000000,9458.00000000,9415.16000000,9442.94000000,775.78119700
2020-05-16 11:30:00,9442.97000000,9447.14000000,9382.86000000,9414.53000000,845.16127500
2020-05-16 12:00:00,9414.54000000,9500.00000000,9404.00000000,9489.66000000,1909.45717500
2020-05-16 12:30:00,9489.35000000,9499.00000000,9445.63000000,9471.45000000,1076.02451200
2020-05-16 13:00:00,9471.44000000,9534.85000000,9436.14000000,9456.01000000,2800.76185900
2020-05-16 13:30:00,9456.82000000,9467.05000000,9425.00000000,9452.42000000,1236.77624100
2020-05-16 14:00:00,9452.42000000,9493.39000000,9435.00000000,9443.70000000,986.12579800
2020-05-16 14:30:00,9443.70000000,9458.39000000,9400.00000000,9432.31000000,1210.25020400
2020-05-16 15:00:00,9432.31000000,9440.00000000,9400.00000000,9419.23000000,790.00723000
2020-05-16 15:30:00,9419.42000000,9424.17000000,9330.00000000,9380.75000000,2138.62475400
2020-05-16 16:00:00,9380.42000000,9419.00000000,9354.94000000,9371.88000000,1250.98947600
2020-05-16 16:30:00,9371.34000000,9400.00000000,9320.00000000,9385.72000000,1995.35732900
2020-05-16 17:00:00,9385.26000000,9408.66000000,9350.60000000,9364.06000000,801.32944800
2020-05-16 17:30:00,9363.71000000,9395.26000000,9291.00000000,9322.26000000,1753.76239500
